"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03770099999","2014-03-17","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  50.7","24","  42.5","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  57.6"," ","  43.5"," "," 0.00","G","999.9","000000"
"03770099999","2014-03-18","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  51.0","24","  41.4","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  57.7"," ","  46.2"," "," 0.00","G","999.9","000000"
"03770099999","2014-03-19","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  51.4","24","  41.3","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  62.1"," ","  45.9","*"," 0.00","G","999.9","000000"
"03770099999","2014-03-20","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  51.0","24","  44.2","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  57.7"," ","  43.9"," "," 0.00","G","999.9","000000"
"03770099999","2014-03-21","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  48.9","24","  37.9","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  55.2"," ","  44.6","*"," 0.17","G","999.9","000000"
"03770099999","2014-03-22","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  45.5","22","  35.2","22","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","22","999.9","999.9","  54.5"," ","  40.5","*"," 0.18","G","999.9","000000"
"03770099999","2014-03-23","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  44.1","24","  33.3","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  52.0"," ","  36.5"," "," 0.02","G","999.9","000000"
"03770099999","2014-03-24","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  43.5","24","  32.1","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  53.2"," ","  33.3"," "," 0.00","G","999.9","000000"
"03770099999","2014-03-25","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  45.5","24","  37.8","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  48.7"," ","  43.3"," "," 0.02","G","999.9","000000"
"03770099999","2014-03-26","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  41.4","24","  34.9","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  49.6"," ","  37.4"," "," 0.05","G","999.9","000000"
"03770099999","2014-03-27","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  44.1","24","  35.4","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  52.0"," ","  37.4"," "," 0.11","G","999.9","000000"
"03770099999","2014-03-28","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  47.7","24","  38.5","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  56.3"," ","  39.9"," "," 0.01","G","999.9","000000"
"03770099999","2014-03-29","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  55.4","24","  41.8","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  67.6"," ","  46.8"," "," 0.00","G","999.9","000000"
"03770099999","2014-03-30","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  57.5","24","  42.5","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  69.6"," ","  48.0"," "," 0.00","G","999.9","000000"
"03770099999","2014-03-31","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  57.5","24","  45.5","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  63.0"," ","  52.3"," "," 0.01","G","999.9","000000"
"03770099999","2014-04-01","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  56.8","24","  48.2","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  67.5"," ","  46.9"," "," 0.11","G","999.9","000000"
